"COD_DIAGNOSTICO","DES_DIAGNOSTICO","DTA_DESACTIVO","COD_VERDIAG","DES_DIAGNOSTICO_LONGA","DIAG_PAI","DIAG_MODULOS"
"4476","ARTERITE NAO ESPECIFICADA",,"ICD9","ARTERITE NAO ESPECIFICADA","447",""
"4481","NEVO, NAO NEOPLASICO",,"ICD9","NEVO, NAO NEOPLASICO","448",""
"45111","FLEBITE E TROMBOFLEBITE DA VEIA FEMURAL (PROFUNDA) (SUPERFICIAL)",,"ICD9","FLEBITE E TROMBOFLEBITE DA VEIA FEMURAL (PROFUNDA) (SUPERFICIAL)","4511",""
"4540","VARIZES DAS EXTREMIDADES INFERIORES, COM ULCERA",,"ICD9","VARIZES DAS EXTREMIDADES INFERIORES, COM ULCERA","454",""
"4549","VARIZES DAS EXTREMIDADES INFERIORES, SEM ULCERA OU INFLAMACAO",,"ICD9","VARIZES DAS EXTREMIDADES INFERIORES, SEM ULCERA OU INFLAMACAO","454",""
"455","HEMORROIDES",,"ICD9","HEMORROIDES","39",""
"4551","HEMORROIDES INTERNAS TROMBOSADAS",,"ICD9","HEMORROIDES INTERNAS TROMBOSADAS","455",""
"4553","HEMORROIDAS EXTERNAS SEM MENCAO DE COMPLICACOES",,"ICD9","HEMORROIDAS EXTERNAS SEM MENCAO DE COMPLICACOES","455",""
"4555","HEMORROIDAS EXTERNAS COM COMPLICACOES NCOP",,"ICD9","HEMORROIDAS EXTERNAS COM COMPLICACOES NCOP","455",""
"4559","POLIPOS FIBROSOS RESIDUAIS DE HEMORROIDES (MARISCAS)",,"ICD9","POLIPOS FIBROSOS RESIDUAIS DE HEMORROIDES (MARISCAS)","455",""
"4442","EMBOLIA E TROMBOSE DE ARTERIA DAS EXTREMIDADES",,"ICD9","EMBOLIA E TROMBOSE DE ARTERIA DAS EXTREMIDADES","444",""
"45981","INSUFICIENCIA VENOSA (PERIFERICA), NAO ESPECIFICADA",,"ICD9","INSUFICIENCIA VENOSA (PERIFERICA), NAO ESPECIFICADA","4598",""
"4612","SINUSITE AGUDA ETMOIDAL",,"ICD9","SINUSITE AGUDA ETMOIDAL","461",""
"45181","FLEBITE E TROMBOFLEBITE DA VEIA ILIACA",,"ICD9","FLEBITE E TROMBOFLEBITE DA VEIA ILIACA","4518",""
"4579","TRANSTORNOS NAO ESPECIFICADOS DOS LINFATICOS",,"ICD9","TRANSTORNOS NAO ESPECIFICADOS DOS LINFATICOS","457",""
"45189","FLEBITE E TROMBOFLEBITE DE LOCALIZACAO NCOP",,"ICD9","FLEBITE E TROMBOFLEBITE DE LOCALIZACAO NCOP","4518",""
"470","DESVIO DO SEPTO NASAL (ADQUIRIDO)",,"ICD9","DESVIO DO SEPTO NASAL (ADQUIRIDO)","46",""
"4719","POLIPOS NASAIS SOE",,"ICD9","POLIPOS NASAIS SOE","471",""
"4731","SINUSITE CRONICA FRONTAL",,"ICD9","SINUSITE CRONICA FRONTAL","473",""
"4739","SINUSITES CRONICAS SOE",,"ICD9","SINUSITES CRONICAS SOE","473",""
"47411","HIPERTROFIA DAS AMIGDALAS",,"ICD9","HIPERTROFIA DAS AMIGDALAS","4741",""
"47412","HIPERTROFIA DAS ADENOIDES",,"ICD9","HIPERTROFIA DAS ADENOIDES","4741",""
"4749","DOENCAS CRONICAS DAS AMIGDALAS E ADENOIDES SOE",,"ICD9","DOENCAS CRONICAS DAS AMIGDALAS E ADENOIDES SOE","474",""
"47829","DOENCAS DA FARINGE OU NASOFARINGE NCOP",,"ICD9","DOENCAS DA FARINGE OU NASOFARINGE NCOP","4782",""
"47831","PARALISIA DAS CORDAS VOCAIS OU LARINGE UNILATERAL PARCIAL",,"ICD9","PARALISIA DAS CORDAS VOCAIS OU LARINGE UNILATERAL PARCIAL","4783",""
"4784","POLIPOS DAS CORDAS VOCAIS OU LARINGE",,"ICD9","POLIPOS DAS CORDAS VOCAIS OU LARINGE","478",""
"65630","SOFRIMENTO FETAL (AFECTANDO MAE), SEM ESPECIFICACAO DO EPISODIO TRATAMENTO",,"ICD9","SOFRIMENTO FETAL (AFECTANDO MAE), SEM ESPECIFICACAO DO EPISODIO TRATAMENTO","6563",""
"6565","CRESCIMENTO FETAL INSUFICIENTE AFECTANDO A MAE",,"ICD9","CRESCIMENTO FETAL INSUFICIENTE AFECTANDO A MAE","656",""
"65651","CRESCIMENTO FETAL INSUFICIENTE CONDICAO ANTEPARTO COM PARTO REFERENCIADO",,"ICD9","CRESCIMENTO FETAL INSUFICIENTE CONDICAO ANTEPARTO COM PARTO REFERENCIADO","6565",""
"65671","AFECCOES DA PLACENTA NCOP CONDICAO ANTEPARTO COM PARTO REFERENCIADO",,"ICD9","AFECCOES DA PLACENTA NCOP CONDICAO ANTEPARTO COM PARTO REFERENCIADO","6567",""
"47870","DOENCA DA LARINGE SOE",,"ICD9","DOENCA DA LARINGE SOE","4787",""
"47874","ESTENOSE DA LARINGE",,"ICD9","ESTENOSE DA LARINGE","4787",""
"47879","DOENCAS DA LARINGE NCOP",,"ICD9","DOENCAS DA LARINGE NCOP","4787",""
"496","OBSTRUCAO CRONICA DE VIAS RESPIRATORIAS NCOP",,"ICD9","OBSTRUCAO CRONICA DE VIAS RESPIRATORIAS NCOP","46",""
"5210","CARIE DENTARIA",,"ICD9","CARIE DENTARIA","521",""
"5221","NECROSE DA POLPA [DENTARIA]",,"ICD9","NECROSE DA POLPA [DENTARIA]","522",""
"0388","SEPTICEMIA ESPECIFICADA, NCOP",,"ICD9","SEPTICEMIA ESPECIFICADA, NCOP","038",""
"6591","FALHA DE INDUCAO DO PARTO POR METODOS CLINICOS OU NAO ESPECIFICADOS",,"ICD9","FALHA DE INDUCAO DO PARTO POR METODOS CLINICOS OU NAO ESPECIFICADOS","659",""
"65983","INDICACAO ASSIST./INTERV.TRAB.PARTO-PARTO NCOP CONDICAO OU COMPLICACAO ANTEPARTO",,"ICD9","INDICACAO ASSIST./INTERV.TRAB.PARTO-PARTO NCOP CONDICAO OU COMPLICACAO ANTEPARTO","6598",""
"65990","INDICACAO SOE P/ASSIST. OU INTERV. NO TRAB.PARTO OU PARTO,EPISODIO NAO ESPECIFIC",,"ICD9","INDICACAO SOE P/ASSIST. OU INTERV. NO TRAB.PARTO OU PARTO,EPISODIO NAO ESPECIFIC","6599",""
"5227","ABCESSO PERIAPICAL [DENTARIO] COM CAVIDADE [FISTULA]",,"ICD9","ABCESSO PERIAPICAL [DENTARIO] COM CAVIDADE [FISTULA]","522",""
"5228","CISTO RADICULAR [DENTARIO]",,"ICD9","CISTO RADICULAR [DENTARIO]","522",""
"5229","DOENCA NCOP OU NAO ESPECIFICADA DA POLPA [DENTARIA] E TECIDOS PERIAPICAIS",,"ICD9","DOENCA NCOP OU NAO ESPECIFICADA DA POLPA [DENTARIA] E TECIDOS PERIAPICAIS","522",""
"523","DOENCAS GENGIVAIS E PERIODONTAIS",,"ICD9","DOENCAS GENGIVAIS E PERIODONTAIS","52",""
"5232","RETRACCAO GENGIVAL",,"ICD9","RETRACCAO GENGIVAL","523",""
"5119","DERRAME PLEURAL NAO ESPECIFICADO",,"ICD9","DERRAME PLEURAL NAO ESPECIFICADO","511",""
"5253","RAIZ DENTARIA RETIDA",,"ICD9","RAIZ DENTARIA RETIDA","525",""
"5259","DOENCAS E AFECCOES DOS DENTES E DE SUAS ESTRUTURAS DE SUSTENTACAO SOE",,"ICD9","DOENCAS E AFECCOES DOS DENTES E DE SUAS ESTRUTURAS DE SUSTENTACAO SOE","525",""
"5264","AFECCOES INFLAMATORIAS DAS MANDIBULAS",,"ICD9","AFECCOES INFLAMATORIAS DAS MANDIBULAS","526",""
"5265","ALVEOLITE DA MANDIBULA",,"ICD9","ALVEOLITE DA MANDIBULA","526",""
"52681","EXOSTOSE DA MANDIBULA",,"ICD9","EXOSTOSE DA MANDIBULA","5268",""
"52689","DOENCA ESPECIFICADA DAS MANDIBULAS, NCOP",,"ICD9","DOENCA ESPECIFICADA DAS MANDIBULAS, NCOP","5268",""
"5206","ALTERACOES NA ERUPCAO DOS DENTES",,"ICD9","ALTERACOES NA ERUPCAO DOS DENTES","520",""
"5306","DIVERTICULO DO ESOFAGO, ADQUIRIDO",,"ICD9","DIVERTICULO DO ESOFAGO, ADQUIRIDO","530",""
"5309","TRANSTORNOS DO ESOFAGO NAO ESPECIFICADOS",,"ICD9","TRANSTORNOS DO ESOFAGO NAO ESPECIFICADOS","530",""
"5239","DOENCA GENGIVAL OU PERIODONTAL NAO ESPECIFICADA",,"ICD9","DOENCA GENGIVAL OU PERIODONTAL NAO ESPECIFICADA","523",""
"5291","LINGUA GEOGRAFICA",,"ICD9","LINGUA GEOGRAFICA","529",""
"5295","LINGUA PREGUEADA",,"ICD9","LINGUA PREGUEADA","529",""
"5299","DOENCA OU AFECCAO DA LINGUA SOE",,"ICD9","DOENCA OU AFECCAO DA LINGUA SOE","529",""
"5271","HIPERTROFIA DE GLANDULA SALIVAR",,"ICD9","HIPERTROFIA DE GLANDULA SALIVAR","527",""
"5272","SIALADENITE (GLANDULA SALIVAR)",,"ICD9","SIALADENITE (GLANDULA SALIVAR)","527",""
"5275","SIALOLITIASE (GLANDULA SALIVAR)",,"ICD9","SIALOLITIASE (GLANDULA SALIVAR)","527",""
"5278","DOENCA DE GLANDULA SALIVAR NCOP",,"ICD9","DOENCA DE GLANDULA SALIVAR NCOP","527",""
"528","DOENCAS DOS TECIDOS MOLES DA BOCA (EXCEPTO GENGIVA E LINGUA)",,"ICD9","DOENCAS DOS TECIDOS MOLES DA BOCA (EXCEPTO GENGIVA E LINGUA)","52",""
"5284","CISTO DA BOCA",,"ICD9","CISTO DA BOCA","528",""
"66400","LACERACAO PERINEO DO PRIMEIRO GRAU -S/ESPECIF. EPISODIO TRATAMENTO",,"ICD9","LACERACAO PERINEO DO PRIMEIRO GRAU -S/ESPECIF. EPISODIO TRATAMENTO","6640",""
"53210","ULCERA DUODENAL AGUDA COM PERFURACAO, SEM OBSTRUCAO",,"ICD9","ULCERA DUODENAL AGUDA COM PERFURACAO, SEM OBSTRUCAO","5321",""
"53291","ULCERA DUODENAL N/ESPECIFIC., S/HEMORRAGIA OU PERFURACAO, C/OBSTRUCAO",,"ICD9","ULCERA DUODENAL N/ESPECIFIC., S/HEMORRAGIA OU PERFURACAO, C/OBSTRUCAO","5329",""
"53370","ULCERA PEPTICA CRONICA SEM MENCAO DE HEMORRAGIA OU PERFURACAO S/OBSTRUCAO",,"ICD9","ULCERA PEPTICA CRONICA SEM MENCAO DE HEMORRAGIA OU PERFURACAO S/OBSTRUCAO","5337",""
"0780","DOENCAS DEVIDAS A MOLUSCO CONTAGIOSO",,"ICD9","DOENCAS DEVIDAS A MOLUSCO CONTAGIOSO","078",""
"337","TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO",,"ICD9","TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO","32",""
"340","ESCLEROSE MULTIPLA",,"ICD9","ESCLEROSE MULTIPLA","32",""
"326","EFEITOS TARDIOS ABCESSO OU DE INFECCAO PIOGENICA INTRACRANIANOS",,"ICD9","EFEITOS TARDIOS ABCESSO OU DE INFECCAO PIOGENICA INTRACRANIANOS","32",""
"55220","HERNIA VENTRAL NAO ESPECIFICADA, COM OBSTRUCAO",,"ICD9","HERNIA VENTRAL NAO ESPECIFICADA, COM OBSTRUCAO","5522",""
"55221","HERNIA INCISIONAL COM OBSTRUCAO",,"ICD9","HERNIA INCISIONAL COM OBSTRUCAO","5522",""
"55229","HERNIA VENTRAL NCOP, COM OBSTRUCAO",,"ICD9","HERNIA VENTRAL NCOP, COM OBSTRUCAO","5522",""
"53789","TRANSTORNO ESPECIFICADO DO ESTOMAGO OU DO DUODENO, NCOP",,"ICD9","TRANSTORNO ESPECIFICADO DO ESTOMAGO OU DO DUODENO, NCOP","5378",""
"541","APENDICITE NAO ESPECIFICADA",,"ICD9","APENDICITE NAO ESPECIFICADA","52",""
"5550","ENTERITE REGIONAL COMPROMETENDO O INTESTINO DELGADO",,"ICD9","ENTERITE REGIONAL COMPROMETENDO O INTESTINO DELGADO","555",""
"5552","ENTERITE REGIONAL COMPROMETENDO O INTESTINO DELGADO E O INTESTINO GROSSO",,"ICD9","ENTERITE REGIONAL COMPROMETENDO O INTESTINO DELGADO E O INTESTINO GROSSO","555",""
"55091","HERNIA INGUINAL SEM MENCAO OBSTRUCAO OU GANGRENA, UNILATERAL, RECORRENTE",,"ICD9","HERNIA INGUINAL SEM MENCAO OBSTRUCAO OU GANGRENA, UNILATERAL, RECORRENTE","5509",""
"55093","HERNIA INGUINAL SEM MENCAO OBSTRUCAO OU GANGRENA, BILATERAL, RECORRENTE",,"ICD9","HERNIA INGUINAL SEM MENCAO OBSTRUCAO OU GANGRENA, BILATERAL, RECORRENTE","5509",""
"5649","ALTERACAO FUNCIONAL DO INTESTINO, SOE",,"ICD9","ALTERACAO FUNCIONAL DO INTESTINO, SOE","564",""
"5650","FISSURA ANAL",,"ICD9","FISSURA ANAL","565",""
"5651","FISTULA ANAL",,"ICD9","FISTULA ANAL","565",""
"5528","HERNIA LOCALIZACAO ESPECIFICADA NCOP, COM OBSTRUCAO SEM MENCAO DE GANGRENA",,"ICD9","HERNIA LOCALIZACAO ESPECIFICADA NCOP, COM OBSTRUCAO SEM MENCAO DE GANGRENA","552",""
"55300","HERNIA FEMURAL UNILATERAL OU N/ESPECIFICADA, SEM OBSTRUCAO OU GANGREN",,"ICD9","HERNIA FEMURAL UNILATERAL OU N/ESPECIFICADA, SEM OBSTRUCAO OU GANGREN","5530",""
"5531","HERNIA UMBILICAL SEM MENCAO OBSTRUCAO OU GANGRENA",,"ICD9","HERNIA UMBILICAL SEM MENCAO OBSTRUCAO OU GANGRENA","553",""
"55329","HERNIA VENTRAL NCOP, SEM MENCAO DE OBSTRUCAO OU GANGRENA",,"ICD9","HERNIA VENTRAL NCOP, SEM MENCAO DE OBSTRUCAO OU GANGRENA","5532",""
"5538","HERNIA DA CAVIDADE ABDOMINAL LOCAL NCOP, SEM OBSTRUCAO OU GANGRENA",,"ICD9","HERNIA DA CAVIDADE ABDOMINAL LOCAL NCOP, SEM OBSTRUCAO OU GANGRENA","553",""
"5600","OCLUSAO INTESTINAL POR INVAGINACAO INTESTINAL",,"ICD9","OCLUSAO INTESTINAL POR INVAGINACAO INTESTINAL","560",""
"56089","OCLUSAO INTESTINAL NCOP",,"ICD9","OCLUSAO INTESTINAL NCOP","5608",""
"5609","OCLUSAO INTESTINAL NAO ESPECIFICADA",,"ICD9","OCLUSAO INTESTINAL NAO ESPECIFICADA","560",""
"56210","DIVERTICULOSE DO COLON, (SEM MENCAO DE HEMORRAGIA)",,"ICD9","DIVERTICULOSE DO COLON, (SEM MENCAO DE HEMORRAGIA)","5621",""
"3310","DOENCA DE ALZHEIMER",,"ICD9","DOENCA DE ALZHEIMER","331",""
"3314","HIDROCEFALIA OBSTRUTIVA",,"ICD9","HIDROCEFALIA OBSTRUTIVA","331",""
"3320","PARALISIA AGITANTE (DOENCA DE PARKINSON)",,"ICD9","PARALISIA AGITANTE (DOENCA DE PARKINSON)","332",""
"3483","ENCEFALOPATIA SOE",,"ICD9","ENCEFALOPATIA SOE","348",""
"3453","ESTADO DE GRANDE MAL [EPILEPTICO]",,"ICD9","ESTADO DE GRANDE MAL [EPILEPTICO]","345",""
"3432","PARALISIA CEREBRAL INFANTIL-QUADRIPLEGICA",,"ICD9","PARALISIA CEREBRAL INFANTIL-QUADRIPLEGICA","343",""
"3438","PARALISIA CEREBRAL INFANTIL NCOP",,"ICD9","PARALISIA CEREBRAL INFANTIL NCOP","343",""
"3484","COMPRESSAO ENCEFALO",,"ICD9","COMPRESSAO ENCEFALO","348",""
"3489","AFECCAO DO CEREBRO SOE",,"ICD9","AFECCAO DO CEREBRO SOE","348",""
"3499","TRANSTORNOS DO SISTEMA NERVOSO SOE",,"ICD9","TRANSTORNOS DO SISTEMA NERVOSO SOE","349",""
"3501","NEURALGIA DO TRIGEMIO",,"ICD9","NEURALGIA DO TRIGEMIO","350",""
"3604","AFECCOES DEGENERATIVAS DO GLOBO OCULAR",,"ICD9","AFECCOES DEGENERATIVAS DO GLOBO OCULAR","360",""
"3540","SINDROMO DO TUNEL CARPICO",,"ICD9","SINDROMO DO TUNEL CARPICO","354",""
"3541","LESOES DO NERVO MEDIANO NCOP",,"ICD9","LESOES DO NERVO MEDIANO NCOP","354",""
"3556","LESAO DO NERVO PLANTAR",,"ICD9","LESAO DO NERVO PLANTAR","355",""
"3560","NEUROPATIA PERIFERICA HEREDITARIA",,"ICD9","NEUROPATIA PERIFERICA HEREDITARIA","356",""
"57450","LITIASE DE VIA BILIAR, SEM MENCAO DE COLECISTITE, SEM OBSTRUCAO",,"ICD9","LITIASE DE VIA BILIAR, SEM MENCAO DE COLECISTITE, SEM OBSTRUCAO","5745",""
"57451","LITIASE DE VIA BILIAR, SEM MENCAO DE COLECISTITE, COM OBSTRUCAO",,"ICD9","LITIASE DE VIA BILIAR, SEM MENCAO DE COLECISTITE, COM OBSTRUCAO","5745",""
"5680","ADERENCIAS PERITONEAIS (POST-OPERATORIAS) (POST-INFECCIOSAS)",,"ICD9","ADERENCIAS PERITONEAIS (POST-OPERATORIAS) (POST-INFECCIOSAS)","568",""
"5691","PROLAPSO RECTAL",,"ICD9","PROLAPSO RECTAL","569",""
"5695","ABCESSO DO INTESTINO",,"ICD9","ABCESSO DO INTESTINO","569",""
"574","COLELITIASE (LITIASE BILIAR)",,"ICD9","COLELITIASE (LITIASE BILIAR)","52",""
"57420","LITIASE DA VESICULA BILIAR, SEM MENCAO DE COLECISTITE, SEM OBSTRUCAO",,"ICD9","LITIASE DA VESICULA BILIAR, SEM MENCAO DE COLECISTITE, SEM OBSTRUCAO","5742",""
"57431","LITIASE DAS VIAS BILIARES, COM COLECISTITE AGUDA, COM OBSTRUCAO",,"ICD9","LITIASE DAS VIAS BILIARES, COM COLECISTITE AGUDA, COM OBSTRUCAO","5743",""
"5758","ALTERACOES ESPECIFICAS DA VESICULA BILIAR, NCOP",,"ICD9","ALTERACOES ESPECIFICAS DA VESICULA BILIAR, NCOP","575",""
"5764","FISTULA DE VIA BILIAR",,"ICD9","FISTULA DE VIA BILIAR","576",""
"5770","PANCREATITE AGUDA",,"ICD9","PANCREATITE AGUDA","577",""
"59011","PIELONEFRITE AGUDA COM LESAO DE NECROSE RENAL MEDULAR",,"ICD9","PIELONEFRITE AGUDA COM LESAO DE NECROSE RENAL MEDULAR","5901",""
"5902","ABCESSO RENAL E PERI-RENAL",,"ICD9","ABCESSO RENAL E PERI-RENAL","590",""
"1220","INFESTACAO DO FIGADO POR ECHINOCOCCUS GRANULOSUS",,"ICD9","INFESTACAO DO FIGADO POR ECHINOCOCCUS GRANULOSUS","122",""
"130","TOXOPLASMOSE",,"ICD9","TOXOPLASMOSE","10",""
"135","SARCOIDOSE",,"ICD9","SARCOIDOSE","10",""
"1371","EFEITOS TARDIOS DA TUBERCULOSE DO SISTEMA NERVOSO CENTRAL",,"ICD9","EFEITOS TARDIOS DA TUBERCULOSE DO SISTEMA NERVOSO CENTRAL","137",""
"1400","TUMOR MALIGNO DO LABIO SUPERIOR, BORDA LIVRE (VERMELHA)",,"ICD9","TUMOR MALIGNO DO LABIO SUPERIOR, BORDA LIVRE (VERMELHA)","140",""
"1408","TUMOR MALIGNO DO LABIO NCOP",,"ICD9","TUMOR MALIGNO DO LABIO NCOP","140",""
"141","NEOPLASIA MALIGNA DA LINGUA",,"ICD9","NEOPLASIA MALIGNA DA LINGUA","14",""
"1410","TUMOR MALIGNO DA BASE DA LINGUA",,"ICD9","TUMOR MALIGNO DA BASE DA LINGUA","141",""
"1413","TUMOR MALIGNO DA FACE VENTRAL DA LINGUA",,"ICD9","TUMOR MALIGNO DA FACE VENTRAL DA LINGUA","141",""
"1415","TUMOR MALIGNO DA ZONA DE TRANSICAO DA LINGUA",,"ICD9","TUMOR MALIGNO DA ZONA DE TRANSICAO DA LINGUA","141",""
"1419","TUMOR MALIGNO DA LINGUA SOE",,"ICD9","TUMOR MALIGNO DA LINGUA SOE","141",""
"1420","NEOPLASIA MALIGNA DA GLANDULA PAROTIDA",,"ICD9","NEOPLASIA MALIGNA DA GLANDULA PAROTIDA","142",""
"143","NEOPLASIA MALIGNA DA GENGIVA",,"ICD9","NEOPLASIA MALIGNA DA GENGIVA","14",""
"1430","TUMOR MALIGNO DA GENGIVA SUPERIOR",,"ICD9","TUMOR MALIGNO DA GENGIVA SUPERIOR","143",""
"1438","TUMOR MALIGNO DA GENGIVA NCOP",,"ICD9","TUMOR MALIGNO DA GENGIVA NCOP","143",""
"1440","TUMOR MALIGNO DO PAVIMENTO DA BOCA - PARTE ANTERIOR",,"ICD9","TUMOR MALIGNO DO PAVIMENTO DA BOCA - PARTE ANTERIOR","144",""
"1448","TUMOR MALIGNO DO PAVIMENTO DA BOCA NCOP",,"ICD9","TUMOR MALIGNO DO PAVIMENTO DA BOCA NCOP","144",""
"1450","TUMOR MALIGNO DA MUCOSA DA BOCHECHA",,"ICD9","TUMOR MALIGNO DA MUCOSA DA BOCHECHA","145",""
"1453","TUMOR MALIGNO DO PALATO MOLE",,"ICD9","TUMOR MALIGNO DO PALATO MOLE","145",""
"1460","NEOPLASIA MALIGNA DA AMIGDALA",,"ICD9","NEOPLASIA MALIGNA DA AMIGDALA","146",""
"80231","FRACTURA ABERTA DA MANDIBULA, CONDILIANA",,"ICD9","FRACTURA ABERTA DA MANDIBULA, CONDILIANA","8023",""
"8025","FRACTURA DO MALAR E MAXILAR, ABERTA",,"ICD9","FRACTURA DO MALAR E MAXILAR, ABERTA","802",""
"9423","QUEIMADURA DO TRONCO, DO TERCEIRO GRAU",,"ICD9","QUEIMADURA DO TRONCO, DO TERCEIRO GRAU","942",""
"94330","DESTRUICAO TODAS CAMADAS PELE [QUEIM. 3? GRAU SOE], M.SUPERIOR, LOCAL N/ESPECIFI",,"ICD9","DESTRUICAO TODAS CAMADAS PELE [QUEIM. 3? GRAU SOE], M.SUPERIOR, LOCAL N/ESPECIFI","9433",""
"6827","ABCESSOS E CELULITES DO PE (EXCEPTO DEDOS), NCOP",,"ICD9","ABCESSOS E CELULITES DO PE (EXCEPTO DEDOS), NCOP","682",""
"7014","CICATRIZ QUELOIDE",,"ICD9","CICATRIZ QUELOIDE","701",""
"7018","AFECCAO HIPERTROFICA OU ATROFICA DA PELE, ESPECIFICADA, NCOP",,"ICD9","AFECCAO HIPERTROFICA OU ATROFICA DA PELE, ESPECIFICADA, NCOP","701",""
"7019","AFECCOES HIPERTROFICAS OU ATROFICAS DA PELE NAO ESPECIFICADAS",,"ICD9","AFECCOES HIPERTROFICAS OU ATROFICAS DA PELE NAO ESPECIFICADAS","701",""
"7030","UNHA ENCRAVADA",,"ICD9","UNHA ENCRAVADA","703",""
"7038","DOENCAS ESPECIFICADAS DAS UNHAS, NCOP",,"ICD9","DOENCAS ESPECIFICADAS DAS UNHAS, NCOP","703",""
"7039","DOENCA NAO ESPECIFICADA DA UNHA",,"ICD9","DOENCA NAO ESPECIFICADA DA UNHA","703",""
"7091","ALTERACOES VASCULARES DA PELE",,"ICD9","ALTERACOES VASCULARES DA PELE","709",""
"7093","ALTERACOES DEGENERATIVAS DA PELE",,"ICD9","ALTERACOES DEGENERATIVAS DA PELE","709",""
"7098","ALTERACOES ESPECIFICADAS DA PELE, NCOP",,"ICD9","ALTERACOES ESPECIFICADAS DA PELE, NCOP","709",""
"7110","ARTRITE PIOGENICA",,"ICD9","ARTRITE PIOGENICA","711",""
"7059","TRANSTORNOS GLANDULAS SUDORIPARAS SOE",,"ICD9","TRANSTORNOS GLANDULAS SUDORIPARAS SOE","705",""
"7062","CISTO SEBACEO",,"ICD9","CISTO SEBACEO","706",""
"7063","SEBORREIA",,"ICD9","SEBORREIA","706",""
"7078","ULCERA CRONICA DA PELE DE LOCALIZACAO NCOP",,"ICD9","ULCERA CRONICA DA PELE DE LOCALIZACAO NCOP","707",""
"80502","FRACTURA DA COLUNA CERVICAL (C2), FECHADA, SEM MENCAO DE LESAO MEDULAR",,"ICD9","FRACTURA DA COLUNA CERVICAL (C2), FECHADA, SEM MENCAO DE LESAO MEDULAR","8050",""
"80507","FRACTURA DE COLUNA CERVICAL (C7), FECHADA, SEM MENCAO DE LESAO MEDULAR",,"ICD9","FRACTURA DE COLUNA CERVICAL (C7), FECHADA, SEM MENCAO DE LESAO MEDULAR","8050",""
"8053","FRACTURA DA COLUNA DORSAL, ABERTA, SEM LESAO MEDULAR",,"ICD9","FRACTURA DA COLUNA DORSAL, ABERTA, SEM LESAO MEDULAR","805",""
"80600","FRACT. COLUNA CERVICAL-F.-C1-C4 COM LESAO MEDULAR SOE",,"ICD9","FRACT. COLUNA CERVICAL-F.-C1-C4 COM LESAO MEDULAR SOE","8060",""
"71504","OSTEOARTROSE GENERALIZADA NA MAO",,"ICD9","OSTEOARTROSE GENERALIZADA NA MAO","7150",""
"7151","OSTEOARTROSE LOCALIZADA, PRIMARIA",,"ICD9","OSTEOARTROSE LOCALIZADA, PRIMARIA","715",""
"65973","ALTERACAO DO RITMO CARDIACO FETAL, CONDICAO OU COMPLICACAO ANTEPARTO",,"ICD9","ALTERACAO DO RITMO CARDIACO FETAL, CONDICAO OU COMPLICACAO ANTEPARTO","6597",""
"68601","PIODERMA GANGRENOSUM",,"ICD9","PIODERMA GANGRENOSUM","6860",""
"73313","FRACTURA PATOLOGICA DE VERTEBRA",,"ICD9","FRACTURA PATOLOGICA DE VERTEBRA","7331",""
"74764","MALFORMACAO CONGENITA DE VASO SANGUINEO DO MEMBRO INFERIOR",,"ICD9","MALFORMACAO CONGENITA DE VASO SANGUINEO DO MEMBRO INFERIOR","7476",""
"74782","MALFORMACAO CONGENITA DE VASO SANGUINEO ESPINAL",,"ICD9","MALFORMACAO CONGENITA DE VASO SANGUINEO ESPINAL","7478",""
"75251","TESTICULO RETIDO",,"ICD9","TESTICULO RETIDO","7525",""
"75261","HIPOSPADIAS",,"ICD9","HIPOSPADIAS","7526",""
"75313","RIM POLICISTICO, AUTOSSOMICO DOMINANTE",,"ICD9","RIM POLICISTICO, AUTOSSOMICO DOMINANTE","7531",""
"75315","DISPLASIA RENAL",,"ICD9","DISPLASIA RENAL","7531",""
"75322","OBSTRUCAO CONGENITA DA JUNCAO URETERO-VESICAL",,"ICD9","OBSTRUCAO CONGENITA DA JUNCAO URETERO-VESICAL","7532",""
"75323","URETEROCELO CONGENITO",,"ICD9","URETEROCELO CONGENITO","7532",""
"78831","URGENCIA - INCONTINENCIA URINARIA",,"ICD9","URGENCIA - INCONTINENCIA URINARIA","7883",""
"81200","FRACTURA DA EXTREMIDADE SUPERIOR DO UMERO SOE, FECHADA",,"ICD9","FRACTURA DA EXTREMIDADE SUPERIOR DO UMERO SOE, FECHADA","8120",""
"71530","OSTEOARTROSE LOCALIZADA S/ESPECIFICACAO PRIMARIA/SECUNDARIA DE LOC. NAO ESPECIFI",,"ICD9","OSTEOARTROSE LOCALIZADA S/ESPECIFICACAO PRIMARIA/SECUNDARIA DE LOC. NAO ESPECIFI","7153",""
"71534","OSTEOARTROSE LOCALIZADA S/ESPECIFICACAO PRIMARIA/SECUNDARIA NA MAO",,"ICD9","OSTEOARTROSE LOCALIZADA S/ESPECIFICACAO PRIMARIA/SECUNDARIA NA MAO","7153",""
"71433","ARTRITE REUMATOIDE JUVENIL MONOARTICULAR",,"ICD9","ARTRITE REUMATOIDE JUVENIL MONOARTICULAR","7143",""
"71511","OSTEOARTROSE LOCALIZADA PRIMARIA NA REGIAO OMBRO",,"ICD9","OSTEOARTROSE LOCALIZADA PRIMARIA NA REGIAO OMBRO","7151",""
