"COD_ACTO","DESIGNACAO","REQ_PROCESSO","COD_GRUPO","CONTAGEM","EST_GRUPO","CONT_TAXAS","CONT_FACT","DTA_DESACTIVO","COD_VERDIAG","DESIGNACAO_LONGA"
"215","RESSECCAO SUBMUCOSA DO SEPTO NASAL","",,1,,1,1,,"ICD9","RESSECCAO SUBMUCOSA DO SEPTO NASAL"
"2169","TURBINECTOMIAS NCOP","",,1,,1,1,,"ICD9","TURBINECTOMIAS NCOP"
"2171","REDUCAO FECHADA DE FRACTURA NASAL","",,1,,1,1,,"ICD9","REDUCAO FECHADA DE FRACTURA NASAL"
"2184","REVISAO DE RINOPLASTIA","",,1,,1,1,,"ICD9","REVISAO DE RINOPLASTIA"
"2185","RINOPLASTIA PARA AUMENTO","",,1,,1,1,,"ICD9","RINOPLASTIA PARA AUMENTO"
"2186","RINOPLASTIA LIMITADA","",,1,,1,1,,"ICD9","RINOPLASTIA LIMITADA"
"2187","RINOPLASTIA NCOP","",,1,,1,1,,"ICD9","RINOPLASTIA NCOP"
"2188","SEPTOPLASTIAS NCOP","",,1,,1,1,,"ICD9","SEPTOPLASTIAS NCOP"
"2219","TECNICA DE DIAGNOSTICO NOS SEIOS NASAIS, NCOP","",,1,,1,1,,"ICD9","TECNICA DE DIAGNOSTICO NOS SEIOS NASAIS, NCOP"
"2231","ANTROTOMIA MAXILAR RADICAL","",,1,,1,1,,"ICD9","ANTROTOMIA MAXILAR RADICAL"
"2241","SINUSOTOMIA FRONTAL","",,1,,1,1,,"ICD9","SINUSOTOMIA FRONTAL"
"2262","EXCISAO DE LESAO DOS SEIOS MAXILARES POR OUTRA VIA","",,1,,1,1,,"ICD9","EXCISAO DE LESAO DOS SEIOS MAXILARES POR OUTRA VIA"
"2309","EXTRACCAO DE OUTRO DENTE","",,1,,1,1,,"ICD9","EXTRACCAO DE OUTRO DENTE"
"2311","EXTRACCAO DE RAIZ RESIDUAL","",,1,,1,1,,"ICD9","EXTRACCAO DE RAIZ RESIDUAL"
"232","RESTAURACAO DE DENTE POR OBTURACAO","",,1,,1,1,,"ICD9","RESTAURACAO DE DENTE POR OBTURACAO"
"2349","RESTAURACOES DENTARIAS NCOP","",,1,,1,1,,"ICD9","RESTAURACOES DENTARIAS NCOP"
"236","IMPLANTE DE PROTESE DENTARIA","",,1,,1,1,,"ICD9","IMPLANTE DE PROTESE DENTARIA"
"2372","TERAPIA DO CANAL DA RAIZ COM APICECTOMIA","",,1,,1,1,,"ICD9","TERAPIA DO CANAL DA RAIZ COM APICECTOMIA"
"2373","APICECTOMIA","",,1,,1,1,,"ICD9","APICECTOMIA"
"2411","BIOPSIA DA GENGIVA","",,1,,1,1,,"ICD9","BIOPSIA DA GENGIVA"
"242","GENGIVOPLASTIA","",,1,,1,1,,"ICD9","GENGIVOPLASTIA"
"2431","EXCISAO DE LESAO OU TECIDO DE GENGIVA","",,1,,1,1,,"ICD9","EXCISAO DE LESAO OU TECIDO DE GENGIVA"
"2439","OPERACOES NA GENGIVA NCOP","",,1,,1,1,,"ICD9","OPERACOES NA GENGIVA NCOP"
"245","ALVEOLOPLASTIA","",,1,,1,1,,"ICD9","ALVEOLOPLASTIA"
"246","EXPOSICAO DO DENTE","",,1,,1,1,,"ICD9","EXPOSICAO DO DENTE"
"248","OPERACOES ORTODONTICAS NCOP","",,1,,1,1,,"ICD9","OPERACOES ORTODONTICAS NCOP"
"2499","OPERACOES DENTARIAS NCOP","",,1,,1,1,,"ICD9","OPERACOES DENTARIAS NCOP"
"2509","TECNICAS DE DIAGNOSTICO NA LINGUA NCOP","",,1,,1,1,,"ICD9","TECNICAS DE DIAGNOSTICO NA LINGUA NCOP"
"252","GLOSSECTOMIA PARCIAL","",,1,,1,1,,"ICD9","GLOSSECTOMIA PARCIAL"
"253","GLOSSECTOMIA COMPLETA","",,1,,1,1,,"ICD9","GLOSSECTOMIA COMPLETA"
"255","RECONSTRUCAO DA LINGUA E GLOSSOPLASTIA","",,1,,1,1,,"ICD9","RECONSTRUCAO DA LINGUA E GLOSSOPLASTIA"
"2591","FRENULOTOMIA LINGUAL","",,1,,1,1,,"ICD9","FRENULOTOMIA LINGUAL"
"2592","FRENULECTOMIA LINGUAL","",,1,,1,1,,"ICD9","FRENULECTOMIA LINGUAL"
"2599","OPERACOES NA LINGUA NCOP","",,1,,1,1,,"ICD9","OPERACOES NA LINGUA NCOP"
"260","INCISAO DA GLANDULA OU CANAL SALIVAR","",,1,,1,1,,"ICD9","INCISAO DA GLANDULA OU CANAL SALIVAR"
"2619","TECNICAS DE DIAGNOSTICO NAS GLANDULAS E CANAIS SALIVARES NCOP","",,1,,1,1,,"ICD9","TECNICAS DE DIAGNOSTICO NAS GLANDULAS E CANAIS SALIVARES NCOP"
"2621","MARSUPIALIZACAO DE LESAO DE GLANDULA SALIVAR","",,1,,1,1,,"ICD9","MARSUPIALIZACAO DE LESAO DE GLANDULA SALIVAR"
"263","SIALOADENECTOMIA","",,1,,1,1,,"ICD9","SIALOADENECTOMIA"
"2632","SIALOADENECTOMIA COMPLETA","",,1,,1,1,,"ICD9","SIALOADENECTOMIA COMPLETA"
"270","DRENAGEM DA REGIAO FACIAL E PAVIMENTO DA BOCA","",,1,,1,1,,"ICD9","DRENAGEM DA REGIAO FACIAL E PAVIMENTO DA BOCA"
"2723","BIOPSIA DO LABIO","",,1,,1,1,,"ICD9","BIOPSIA DO LABIO"
"2724","BIOPSIA DA BOCA, ESTRUTURA NAO ESPECIFICADA","",,1,,1,1,,"ICD9","BIOPSIA DA BOCA, ESTRUTURA NAO ESPECIFICADA"
"2731","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DO PALATO OSSEO","",,1,,1,1,,"ICD9","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DO PALATO OSSEO"
"2732","EXCISAO EXTENSA OU DESTRUICAO DE LESAO OU TECIDO DE PALATO OSSEO","",,1,,1,1,,"ICD9","EXCISAO EXTENSA OU DESTRUICAO DE LESAO OU TECIDO DE PALATO OSSEO"
"2741","FRENECTOMIA LABIAL","",,1,,1,1,,"ICD9","FRENECTOMIA LABIAL"
"2742","EXCISAO RADICAL DE LESAO DO LABIO","",,1,,1,1,,"ICD9","EXCISAO RADICAL DE LESAO DO LABIO"
"2743","EXCISAO DE LESAO OU TECIDO DO LABIO, NCOP","",,1,,1,1,,"ICD9","EXCISAO DE LESAO OU TECIDO DO LABIO, NCOP"
"2749","EXCISAO DE PARTE DA BOCA, NCOP","",,1,,1,1,,"ICD9","EXCISAO DE PARTE DA BOCA, NCOP"
"2753","ENCERRAMENTO DE FISTULA DA BOCA","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA DA BOCA"
"2754","REPARACAO DE LABIO LEPORINO","",,1,,1,1,,"ICD9","REPARACAO DE LABIO LEPORINO"
"2757","ENXERTO PEDICULADO OU RETALHO AO LABIO E BOCA","",,1,,1,1,,"ICD9","ENXERTO PEDICULADO OU RETALHO AO LABIO E BOCA"
"2759","RECONSTRUCAO PLASTICA DA BOCA","",,1,,1,1,,"ICD9","RECONSTRUCAO PLASTICA DA BOCA"
"2761","SUTURA DE LACERACAO DO PALATO","",,1,,1,1,,"ICD9","SUTURA DE LACERACAO DO PALATO"
"2762","CORRECCAO DE FENDA PALATINA","",,1,,1,1,,"ICD9","CORRECCAO DE FENDA PALATINA"
"2763","REVISAO DE RECONSTRUCAO DE FENDA PALATINA","",,1,,1,1,,"ICD9","REVISAO DE RECONSTRUCAO DE FENDA PALATINA"
"279","OPERACAO NA BOCA E FACE","",,1,,1,1,,"ICD9","OPERACAO NA BOCA E FACE"
"2799","OPERACOES NA CAVIDADE ORAL NCOP","",,1,,1,1,,"ICD9","OPERACOES NA CAVIDADE ORAL NCOP"
"283","AMIGDALECTOMIA COM ADENOIDECTOMIA","",,1,,1,1,,"ICD9","AMIGDALECTOMIA COM ADENOIDECTOMIA"
"2912","BIOPSIA FARINGEA","",,1,,1,1,,"ICD9","BIOPSIA FARINGEA"
"292","EXCISAO DE QUISTO OU VESTIGIO DA FENDA BRANQUIAL","",,1,,1,1,,"ICD9","EXCISAO DE QUISTO OU VESTIGIO DA FENDA BRANQUIAL"
"2939","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA FARINGE, NCOP","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA FARINGE, NCOP"
"2952","ENCERRAMENTO DE FISTULA BRANQUIAL","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA BRANQUIAL"
"2999","OPERACAO NA FARINGE NCOP","",,1,,1,1,,"ICD9","OPERACAO NA FARINGE NCOP"
"3001","MARSUPIALIZACAO DE QUISTO LARINGEO","",,1,,1,1,,"ICD9","MARSUPIALIZACAO DE QUISTO LARINGEO"
"3009","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA LARINGE NCOP","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA LARINGE NCOP"
"3022","CORDECTOMIA VOCAL","",,1,,1,1,,"ICD9","CORDECTOMIA VOCAL"
"303","LARINGECTOMIA COMPLETA","",,1,,1,1,,"ICD9","LARINGECTOMIA COMPLETA"
"304","LARINGECTOMIA RADICAL","",,1,,1,1,,"ICD9","LARINGECTOMIA RADICAL"
"312","TRAQUEOSTOMIA PERMANENTE","",,1,,1,1,,"ICD9","TRAQUEOSTOMIA PERMANENTE"
"3129","TRAQUEOSTOMIA PERMANENTE NAO MEDIASTINICA E SEM LARINGECTOMIA","",,1,,1,1,,"ICD9","TRAQUEOSTOMIA PERMANENTE NAO MEDIASTINICA E SEM LARINGECTOMIA"
"3142","LARINGOSCOPIA E TRAQUEOSCOPIA NCOP","",,1,,1,1,,"ICD9","LARINGOSCOPIA E TRAQUEOSCOPIA NCOP"
"3148","PROCEDIMENTOS DIAGNOSTICOS NA LARINGE, NCOP","",,1,,1,1,,"ICD9","PROCEDIMENTOS DIAGNOSTICOS NA LARINGE, NCOP"
"315","EXCISAO OU DESTRUICAO LOCAL DE LESAO OU TECIDO DA TRAQUEIA","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO LOCAL DE LESAO OU TECIDO DA TRAQUEIA"
"317","REPARACOES E OPERACOES PLASTICAS NA TRAQUEIA","",,1,,1,1,,"ICD9","REPARACOES E OPERACOES PLASTICAS NA TRAQUEIA"
"3173","ENCERRAMENTO DE FISTULAS NCOP DA TRAQUEIA","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULAS NCOP DA TRAQUEIA"
"3174","REVISAO DE TRAQUEOSTOMIA","",,1,,1,1,,"ICD9","REVISAO DE TRAQUEOSTOMIA"
"3179","REPARACOES E OPERACOES PLASTICAS NA TRAQUEIA NCOP","",,1,,1,1,,"ICD9","REPARACOES E OPERACOES PLASTICAS NA TRAQUEIA NCOP"
"3195","FISTULIZACAO TRAQUEO-ESOFAGICA","",,1,,1,1,,"ICD9","FISTULIZACAO TRAQUEO-ESOFAGICA"
"3198","OPERACOES NA LARINGE NCOP","",,1,,1,1,,"ICD9","OPERACOES NA LARINGE NCOP"
"3401","INCISAO DA PAREDE TORACICA","",,1,,1,1,,"ICD9","INCISAO DA PAREDE TORACICA"
"3421","TORACOSCOPIA TRANSPLEURAL","",,1,,1,1,,"ICD9","TORACOSCOPIA TRANSPLEURAL"
"343","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DO MEDIASTINO","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DO MEDIASTINO"
"581","MEATOTOMIA URETRAL","",,1,,1,1,,"ICD9","MEATOTOMIA URETRAL"
"5822","URETROSCOPIAS NCOP","",,1,,1,1,,"ICD9","URETROSCOPIAS NCOP"
"5824","BIOPSIA DO TECIDO PERIURETRAL","",,1,,1,1,,"ICD9","BIOPSIA DO TECIDO PERIURETRAL"
"5829","ACTOS DE DIAGNOSTICO NA URETRA E TECIDO PERIURETRAL NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NA URETRA E TECIDO PERIURETRAL NCOP"
"5831","EXCISAO OU DESTRUICAO ENDOSCOPICAS DE LESAO OU TECIDO DA URETRA","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO ENDOSCOPICAS DE LESAO OU TECIDO DA URETRA"
"5839","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DA URETRA, NCOP","",,1,,1,1,,"ICD9","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DA URETRA, NCOP"
"5843","ENCERRAMENTO DE FISTULA DA URETRA","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA DA URETRA"
"5844","REANASTOMOSE DA URETRA","",,1,,1,1,,"ICD9","REANASTOMOSE DA URETRA"
"5845","REPARACAO DE HIPOSPADIAS OU EPISPADIAS","",,1,,1,1,,"ICD9","REPARACAO DE HIPOSPADIAS OU EPISPADIAS"
"5846","RECONSTRUCOES DA URETRA NCOP","",,1,,1,1,,"ICD9","RECONSTRUCOES DA URETRA NCOP"
"5847","MEATOPLASTIA URETRAL","",,1,,1,1,,"ICD9","MEATOPLASTIA URETRAL"
"5849","REPARACOES DA URETRA NCOP","",,1,,1,1,,"ICD9","REPARACOES DA URETRA NCOP"
"585","LIBERTACAO DE APERTO URETRAL","",,1,,1,1,,"ICD9","LIBERTACAO DE APERTO URETRAL"
"5891","INCISAO DE TECIDO PERIURETRAL","",,1,,1,1,,"ICD9","INCISAO DE TECIDO PERIURETRAL"
"5899","OPERACOES NA URETRA E TECIDO PERIURETRAL NCOP","",,1,,1,1,,"ICD9","OPERACOES NA URETRA E TECIDO PERIURETRAL NCOP"
"594","SUSPENSAO SUPRAPUBICA","",,1,,1,1,,"ICD9","SUSPENSAO SUPRAPUBICA"
"596","SUSPENSAO PARAURETRAL","",,1,,1,1,,"ICD9","SUSPENSAO PARAURETRAL"
"598","CATETERIZACAO URETERAL","",,1,,1,1,,"ICD9","CATETERIZACAO URETERAL"
"5996","LITOTRIPSIA EXTRACORPORAL POR ONDAS DE CHOQUE [ESWL]","",,1,,1,1,,"ICD9","LITOTRIPSIA EXTRACORPORAL POR ONDAS DE CHOQUE [ESWL]"
"6011","BIOPSIA FECHADA [PERCUTANEA] [AGULHA] DA PROSTATA","",,1,,1,1,,"ICD9","BIOPSIA FECHADA [PERCUTANEA] [AGULHA] DA PROSTATA"
"603","PROSTATECTOMIA SUPRAPUBICA","",,1,,1,1,,"ICD9","PROSTATECTOMIA SUPRAPUBICA"
"605","PROSTATECTOMIA RADICAL","",,1,,1,1,,"ICD9","PROSTATECTOMIA RADICAL"
"6069","PROSTATECTOMIAS NCOP","",,1,,1,1,,"ICD9","PROSTATECTOMIAS NCOP"
"610","INCISAO E DRENAGEM DO ESCROTO E TUNICA VAGINAL","",,1,,1,1,,"ICD9","INCISAO E DRENAGEM DO ESCROTO E TUNICA VAGINAL"
"612","EXCISAO DE HIDROCELO (DA TUNICA VAGINAL)","",,1,,1,1,,"ICD9","EXCISAO DE HIDROCELO (DA TUNICA VAGINAL)"
"6149","REPARACOES DO ESCROTO E TUNICA VAGINAL NCOP","",,1,,1,1,,"ICD9","REPARACOES DO ESCROTO E TUNICA VAGINAL NCOP"
"62","OPERACAO NOS TESTICULOS","",,0,,1,1,,"ICD9","OPERACAO NOS TESTICULOS"
"623","ORQUIDECTOMIA UNILATERAL","",,1,,1,1,,"ICD9","ORQUIDECTOMIA UNILATERAL"
"624","ORQUIDECTOMIA BILATERAL","",,1,,1,1,,"ICD9","ORQUIDECTOMIA BILATERAL"
"6242","REMOCAO DE TESTICULO REMANESCENTE OU SOLITARIO","",,1,,1,1,,"ICD9","REMOCAO DE TESTICULO REMANESCENTE OU SOLITARIO"
"6269","REPARACAO DE TESTICULOS NCOP","",,1,,1,1,,"ICD9","REPARACAO DE TESTICULOS NCOP"
"631","EXCISAO DE VARICOCELO E HIDROCELO DO CORDAO ESPERMATICO","",,1,,1,1,,"ICD9","EXCISAO DE VARICOCELO E HIDROCELO DO CORDAO ESPERMATICO"
"632","EXCISAO DE QUISTO DO EPIDIDIMO","",,1,,1,1,,"ICD9","EXCISAO DE QUISTO DO EPIDIDIMO"
"633","EXCISAO DE QUISTO DO CORDAO ESPERMATICO","",,1,,1,1,,"ICD9","EXCISAO DE QUISTO DO CORDAO ESPERMATICO"
"6370","INTERVENCAO PARA ESTERILIZACAO MASCULINA NCOP","",,1,,1,1,,"ICD9","INTERVENCAO PARA ESTERILIZACAO MASCULINA NCOP"
"6373","VASECTOMIA","",,1,,1,1,,"ICD9","VASECTOMIA"
"640","CIRCUNCISAO","",,1,,1,1,,"ICD9","CIRCUNCISAO"
"642","EXCISAO OU DESTRUICAO LOCAL DE LESAO NO PENIS","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO LOCAL DE LESAO NO PENIS"
"643","AMPUTACAO DO PENIS","",,1,,1,1,,"ICD9","AMPUTACAO DO PENIS"
"6444","RECONSTRUCAO DO PENIS","",,1,,1,1,,"ICD9","RECONSTRUCAO DO PENIS"
"6449","REPARACAO DO PENIS, NCOP","",,1,,1,1,,"ICD9","REPARACAO DO PENIS, NCOP"
"6492","INCISAO DO PENIS","",,1,,1,1,,"ICD9","INCISAO DO PENIS"
"6497","INSERCAO OU TROCA DE PROTESE PENIANA INSUFLAVEL","",,1,,1,1,,"ICD9","INSERCAO OU TROCA DE PROTESE PENIANA INSUFLAVEL"
"6519","ACTOS DE DIAGNOSTICO NOS OVARIOS NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NOS OVARIOS NCOP"
"6529","EXCISAO LOCAL OU DESTRUICAO DE OVARIO, NCOP","",,1,,1,1,,"ICD9","EXCISAO LOCAL OU DESTRUICAO DE OVARIO, NCOP"
"6551","REMOCAO DE AMBOS OS OVARIOS NO MESMO TEMPO OPERATORIO, NCOP","",,1,,1,1,,"ICD9","REMOCAO DE AMBOS OS OVARIOS NO MESMO TEMPO OPERATORIO, NCOP"
"659","OPERACOES NO OVARIO, NCOP","",,1,,1,1,,"ICD9","OPERACOES NO OVARIO, NCOP"
"6591","ASPIRACAO DE OVARIO","",,1,,1,1,,"ICD9","ASPIRACAO DE OVARIO"
"6599","OPERACAO NO OVARIO, NCOP","",,1,,1,1,,"ICD9","OPERACAO NO OVARIO, NCOP"
"6622","LAQUEACAO ENDOSCOPICA BILATERAL E SECCAO DE TROMPAS","",,1,,1,1,,"ICD9","LAQUEACAO ENDOSCOPICA BILATERAL E SECCAO DE TROMPAS"
"6639","ESTERILIZACAO FEMININA","",,1,,1,1,,"ICD9","ESTERILIZACAO FEMININA"
"6699","OPERACOES NAS TROMPAS NCOP","",,1,,1,1,,"ICD9","OPERACOES NAS TROMPAS NCOP"
"672","CONIZACAO DA CERVIX","",,1,,1,1,,"ICD9","CONIZACAO DA CERVIX"
"6732","DESTRUICAO DE LESAO DA CERVIX POR CAUTERIZACAO","",,1,,1,1,,"ICD9","DESTRUICAO DE LESAO DA CERVIX POR CAUTERIZACAO"
"6739","EXCISOES OU DESTRUICOES DE LESAO OU TECIDO DA CERVIX NCOP","",,1,,1,1,,"ICD9","EXCISOES OU DESTRUICOES DE LESAO OU TECIDO DA CERVIX NCOP"
"6812","HISTEROSCOPIA","",,1,,1,1,,"ICD9","HISTEROSCOPIA"
"6829","EXCISAO OU DESTRUICAO DE LESAO DO UTERO, NCOP","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO DO UTERO, NCOP"
"684","HISTERECTOMIA ABDOMINAL TOTAL","",,1,,1,1,,"ICD9","HISTERECTOMIA ABDOMINAL TOTAL"
"689","HISTERECTOMIA NCOP OU NAO ESPECIFICADA","",,1,,1,1,,"ICD9","HISTERECTOMIA NCOP OU NAO ESPECIFICADA"
"6919","EXCISAO OU DESTRUICAO DE UTERO E TECIDOS DE SUPORTE, NCOP","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE UTERO E TECIDOS DE SUPORTE, NCOP"
"697","INSERCAO DE DISPOSITIVO CONTRACEPTIVO INTRAUTERINO","",,1,,1,1,,"ICD9","INSERCAO DE DISPOSITIVO CONTRACEPTIVO INTRAUTERINO"
"6992","INSEMINACAO ARTIFICIAL","",,1,,1,1,,"ICD9","INSEMINACAO ARTIFICIAL"
"700","CULDOCENTESE","",,1,,1,1,,"ICD9","CULDOCENTESE"
"7024","BIOPSIA VAGINAL","",,1,,1,1,,"ICD9","BIOPSIA VAGINAL"
"7033","EXCISAO OU DESTRUICAO DE LESAO DA VAGINA","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO DA VAGINA"
"704","OBLITERACAO E EXCISAO TOTAL DA VAGINA","",,1,,1,1,,"ICD9","OBLITERACAO E EXCISAO TOTAL DA VAGINA"
"7051","REPARACAO DE CISTOCELO (COLPORRAFIA ANTERIOR)","",,1,,1,1,,"ICD9","REPARACAO DE CISTOCELO (COLPORRAFIA ANTERIOR)"
"7052","REPARACAO DE RECTOCELO (COLPORRAFIA POSTERIOR)","",,1,,1,1,,"ICD9","REPARACAO DE RECTOCELO (COLPORRAFIA POSTERIOR)"
"7077","SUSPENSAO E FIXACAO VAGINAL","",,1,,1,1,,"ICD9","SUSPENSAO E FIXACAO VAGINAL"
"708","OBLITERACAO DA CUPULA VAGINAL","",,1,,1,1,,"ICD9","OBLITERACAO DA CUPULA VAGINAL"
"7091","OPERACOES NA VAGINA NCOP","",,1,,1,1,,"ICD9","OPERACOES NA VAGINA NCOP"
"7109","INCISOES DA VULVA E PERINEO NCOP","",,1,,1,1,,"ICD9","INCISOES DA VULVA E PERINEO NCOP"
"7119","ACTOS DE DIAGNOSTICO NA VULVA NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NA VULVA NCOP"
"7123","MARSUPIALIZACAO DA GLANDULA DE BARTHOLIN (QUISTO)","",,1,,1,1,,"ICD9","MARSUPIALIZACAO DA GLANDULA DE BARTHOLIN (QUISTO)"
"4572","RESSECCAO DE CEGO","",,1,,1,1,,"ICD9","RESSECCAO DE CEGO"
"4573","HEMICOLECTOMIA DIREITA","",,1,,1,1,,"ICD9","HEMICOLECTOMIA DIREITA"
"4575","HEMICOLECTOMIA ESQUERDA","",,1,,1,1,,"ICD9","HEMICOLECTOMIA ESQUERDA"
"4576","SIGMOIDECTOMIA","",,1,,1,1,,"ICD9","SIGMOIDECTOMIA"
"4579","EXCISAO PARCIAL INTESTINO GROSSO, NCOP","",,1,,1,1,,"ICD9","EXCISAO PARCIAL INTESTINO GROSSO, NCOP"
"458","COLECTOMIA TOTAL INTRA-ABDOMINAL","",,1,,1,1,,"ICD9","COLECTOMIA TOTAL INTRA-ABDOMINAL"
"4590","ANASTOMOSE INTESTINAL SEM OUTRA ESPECIFICACAO","",,1,,1,1,,"ICD9","ANASTOMOSE INTESTINAL SEM OUTRA ESPECIFICACAO"
"4591","ANASTOMOSE INTESTINO DELGADO - INTESTINO DELGADO","",,1,,1,1,,"ICD9","ANASTOMOSE INTESTINO DELGADO - INTESTINO DELGADO"
"4593","ANASTOMOSE INTESTINO DELGADO - INTESTINO GROSSO, NCOP","",,1,,1,1,,"ICD9","ANASTOMOSE INTESTINO DELGADO - INTESTINO GROSSO, NCOP"
"4594","ANASTOMOSE INTESTINO GROSSO - INTESTINO GROSSO","",,1,,1,1,,"ICD9","ANASTOMOSE INTESTINO GROSSO - INTESTINO GROSSO"
"4595","ANASTOMOSE INTESTINAL AO ANUS","",,1,,1,1,,"ICD9","ANASTOMOSE INTESTINAL AO ANUS"
"4611","COLOSTOMIA TEMPORARIA","",,1,,1,1,,"ICD9","COLOSTOMIA TEMPORARIA"
"4613","COLOSTOMIA PERMANENTE, NCOP","",,1,,1,1,,"ICD9","COLOSTOMIA PERMANENTE, NCOP"
"4642","REPARACAO DE HERNIA PERICOLOSTOMICA","",,1,,1,1,,"ICD9","REPARACAO DE HERNIA PERICOLOSTOMICA"
"4651","ENCERRAMENTO DE ESTOMA DE INTESTINO DELGADO","",,1,,1,1,,"ICD9","ENCERRAMENTO DE ESTOMA DE INTESTINO DELGADO"
"4672","ENCERRAMENTO DE FISTULA DUODENAL","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA DUODENAL"
"4674","ENCERRAMENTO DE FISTULA DE INTESTINO DELGADO","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA DE INTESTINO DELGADO"
"4676","ENCERRAMENTO DE FISTULA DE INTESTINO GROSSO","",,1,,1,1,,"ICD9","ENCERRAMENTO DE FISTULA DE INTESTINO GROSSO"
"480","PROCTOTOMIA","",,1,,1,1,,"ICD9","PROCTOTOMIA"
"4835","EXCISAO LOCALIZADA DE LESAO OU TECIDO RECTAL","",,1,,1,1,,"ICD9","EXCISAO LOCALIZADA DE LESAO OU TECIDO RECTAL"
"4863","RESSECCAO ANTERIOR DO RECTO, NCOP","",,1,,1,1,,"ICD9","RESSECCAO ANTERIOR DO RECTO, NCOP"
"4869","RESSECCAO DO RECTO, NCOP","",,1,,1,1,,"ICD9","RESSECCAO DO RECTO, NCOP"
"4874","RECTO-RECTOSTOMIA","",,1,,1,1,,"ICD9","RECTO-RECTOSTOMIA"
"4879","RECONSTRUCAO DO RECTO","",,1,,1,1,,"ICD9","RECONSTRUCAO DO RECTO"
"489","OPERACAO NO RECTO E TECIDO PERI-RECTAL","",,1,,1,1,,"ICD9","OPERACAO NO RECTO E TECIDO PERI-RECTAL"
"4899","OPERACAO NO RECTO E TECIDO PERI-RECTAL","",,1,,1,1,,"ICD9","OPERACAO NO RECTO E TECIDO PERI-RECTAL"
"4901","INCISAO DE ABCESSO PERIANAL","",,1,,1,1,,"ICD9","INCISAO DE ABCESSO PERIANAL"
"4902","INCISOES DE TECIDO PERIANAL NCOP","",,1,,1,1,,"ICD9","INCISOES DE TECIDO PERIANAL NCOP"
"4903","EXCISAO DE PAPILOMA CUTANEO PERIANAL","",,1,,1,1,,"ICD9","EXCISAO DE PAPILOMA CUTANEO PERIANAL"
"4904","EXCISOES DE TECIDO PERIANAL NCOP","",,1,,1,1,,"ICD9","EXCISOES DE TECIDO PERIANAL NCOP"
"4911","FISTULOTOMIA ANAL","",,1,,1,1,,"ICD9","FISTULOTOMIA ANAL"
"4912","FISTULECTOMIA ANAL","",,1,,1,1,,"ICD9","FISTULECTOMIA ANAL"
"4922","BIOPSIA DE TECIDO PERIANAL","",,1,,1,1,,"ICD9","BIOPSIA DE TECIDO PERIANAL"
"4929","ACTOS DE DIAGNOSTICO NO ANUS E TECIDO PERIANAL NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NO ANUS E TECIDO PERIANAL NCOP"
"4931","EXCISAO OU DESTRUICAO ENDOSCOPICAS DE LESAO OU TECIDO DO ANUS","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO ENDOSCOPICAS DE LESAO OU TECIDO DO ANUS"
"4939","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO ANUS, NCOP","",,1,,1,1,,"ICD9","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO ANUS, NCOP"
"4945","LAQUEACAO DE HEMORROIDES","",,1,,1,1,,"ICD9","LAQUEACAO DE HEMORROIDES"
"4946","EXCISAO DE HEMORROIDES","",,1,,1,1,,"ICD9","EXCISAO DE HEMORROIDES"
"4949","PROCEDIMENTOS EM HEMORROIDES, NCOP","",,1,,1,1,,"ICD9","PROCEDIMENTOS EM HEMORROIDES, NCOP"
"4951","ESFINCTEROTOMIA ANAL ESQUERDA","",,1,,1,1,,"ICD9","ESFINCTEROTOMIA ANAL ESQUERDA"
